account_id,amount,location,transaction_type,time_of_day,distance_from_home,is_fraud
655,3500.14,Delhi,Online,13,3.09,0
105,3953.07,Hyderabad,Online,19,86.15,0
96,1307.54,Hyderabad,POS,6,1.71,0
734,6747.64,Hyderabad,ATM,13,48.37,0
285,601.58,Chennai,Online,19,37.13,0
160,619.75,Delhi,Online,8,13.29,0
368,2735.89,Hyderabad,ATM,7,85.66,0
550,3184.75,Bangalore,Online,23,18.11,0
644,1048.49,Delhi,POS,12,25.71,0
47,734.07,Delhi,Online,13,60.62,0
390,6406.95,Delhi,Online,17,1.29,0
687,2212.58,Chennai,POS,11,61.24,0
251,376.85,Bangalore,ATM,23,15.55,0
333,1462.98,Chennai,Online,7,28.78,0
411,208.08,Mumbai,POS,16,4.58,0
512,204.88,Bangalore,Online,14,102.61,0
763,1969.51,Delhi,POS,19,42.89,0
409,4477.63,Mumbai,POS,21,51.04,0
49,2636.59,Mumbai,POS,11,87.98,0
433,1994.56,Bangalore,ATM,20,19.84,0
995,4225.4,Chennai,POS,9,18.57,0
550,1663.06,Delhi,Online,15,5.06,0
465,2445.57,Delhi,POS,11,25.99,0
109,628.08,Delhi,POS,22,62.86,0
157,3040.85,Mumbai,POS,22,78.15,0
614,2982.25,Chennai,Online,17,9.25,0
852,40.77,Mumbai,Online,13,40.58,0
970,5103.0,Bangalore,Online,23,56.56,0
132,527.65,Hyderabad,Online,14,5.46,0
622,3003.79,Mumbai,POS,12,58.78,0
409,48236.0,Delhi,POS,14,460.0,1
254,572.48,Delhi,Online,23,0.72,0
226,1329.0,Chennai,Online,8,49.81,0
881,4447.58,Hyderabad,Online,14,77.81,0
220,1793.97,Hyderabad,POS,21,60.18,0
485,3094.91,Mumbai,Online,9,22.26,0
363,3094.19,Bangalore,POS,7,86.9,0
662,1902.52,Bangalore,POS,16,88.23,0
112,5869.24,Mumbai,POS,20,51.1,0
188,2271.14,Mumbai,Online,20,4.95,0
877,2285.28,Chennai,POS,23,89.38,0
993,1350.98,Mumbai,Online,19,27.86,0
219,6443.68,Chennai,Online,18,15.91,1
400,435.48,Bangalore,ATM,19,15.09,0
749,57688.0,Delhi,Online,22,249.0,1
223,53766.0,Delhi,ATM,1,382.0,1
599,4756.21,Hyderabad,Online,7,26.44,0
83,420.72,Chennai,POS,8,35.66,0
241,2301.23,Hyderabad,Online,7,58.43,0
430,116.16,Hyderabad,POS,16,6.38,0
210,833.68,Delhi,Online,14,63.18,0
688,2898.36,Bangalore,ATM,8,23.05,1
637,27400.0,Hyderabad,ATM,6,387.0,1
358,2025.34,Mumbai,ATM,15,1.73,0
854,2256.11,Delhi,POS,22,11.03,1
837,981.86,Chennai,Online,14,30.11,0
110,1526.14,Mumbai,ATM,15,30.2,0
735,7668.56,Delhi,POS,21,18.73,0
930,2782.65,Chennai,POS,19,6.28,0
46,3766.31,Mumbai,POS,14,8.67,0
453,2190.69,Bangalore,POS,6,133.16,0
968,1432.92,Mumbai,POS,7,25.08,0
597,1905.86,Bangalore,Online,7,48.43,0
921,36724.0,Mumbai,POS,21,303.0,1
799,5438.47,Bangalore,POS,10,47.6,0
243,4383.1,Mumbai,ATM,6,35.47,0
947,6218.38,Bangalore,POS,13,60.09,0
807,3770.57,Bangalore,Online,21,119.52,0
837,25000.0,Chennai,POS,2,14.0,1
337,981.61,Chennai,ATM,17,18.31,0
410,2308.95,Hyderabad,ATM,6,15.17,0
994,2661.99,Hyderabad,ATM,7,13.43,0
445,1196.91,Delhi,ATM,22,33.68,0
922,768.27,Delhi,Online,19,87.5,1
948,359.76,Mumbai,ATM,19,6.1,0
681,46286.0,Delhi,Online,21,434.0,1
308,4450.55,Bangalore,ATM,18,51.54,0
568,2692.38,Bangalore,POS,18,75.36,0
925,2832.45,Hyderabad,ATM,18,19.23,0
